s1_azi,s1_ele,s2_azi,s2_ele,s3_azi,s3_ele,s4_azi,s4_ele
-5.3,+52.8,-94.8,+13.6,+84.3,+47.8
-6.8,+50.7,-99.7,+16,+86.8,+43.2
-3,+42.4,-94.9,+16.2,+84.3,+47.8
-1.5,+45.8,-92.3,+3.4,+84.3,+47.8
-9.1,+64.4,-101,+25.4,+84.3,+47.8
-0.1,+49.7,-95,+20.1,+84.3,+47.8
-0.1,+49.7,-94.4,+31.7,+84.3,+47.8
-2,+54.2,-101.9,+12.+1,90,+46.4
-4.7,+58.7,-94.8,+8.1,+84.3,+47.8
+2.7,+26.2,-97.1,+10.+1,90,+46.4
-1.5,+45.8,-97.2,+12.1,+86.2,+51.2
+2.5,+41.7,-94.5,+0,+85.4,+59.3
-11.2,+55.7,-92.3,+3.4,+78.8,+50.7
+9.1,+64.4,-94.8,+8.1,+78.8,+50.7
+0,+0,-92.3,+3.4,+78.8,+50.7
-1.8,+76.3,-96.9,+4,+84.3,+47.8
-5.3,+52.8,-96.9,+3.4,+86.2,+51.2
-1.5,+62.1,-85.5,+0,+86.2,+51.2
-3.6,+57.5,-85.5,+0,+84.3,+47.8
