s1_azi,s1_ele,s2_azi,s2_ele,s3_azi,s3_ele
180,30,225,44,290,78
184,38,351,64,254,46
182,16,219,41,242,55
184,30,225,44,315,83
181,26,225,44,267,32
188,36,229,44,270,66
182,1,219,41,252,50
181,26,224,41,264,56
182,27,225,44,271,23
181,33,229,44,272,1
181,33,246,40,275,3
181,26,225,44,268,8
182,27,224,41,273,69
180,30,220,52,271,23
186,33,229,44,273,14
188,36,229,49,264,60
181,26,222,49,268,5
186,30,229,44,271,17
182,27,225,44,260,71
183,0,199,31,233,47
186,30,229,44,272,61
182,16,197,42,271,38
180,30,227,49,267,40
181,11,216,44,252,54
181,11,219,34,229,42
180,30,225,44,315,83
181,33,238,60,275,3
184,30,232,54,272,25
181,3,213,40,244,58
181,26,227,51,277,72
189,33,229,42,312,80
181,33,222,49,342,82
182,38,254,38,347,77
182,1,224,41,276,23
186,31,229,44,271,23
181,3,202,42,275,3
181,26,224,41,267,28
182,27,225,44,273,69
182,27,229,42,264,60
181,33,229,49,267,36
181,26,229,42,272,6
181,33,227,49,316,83
182,27,229,44,268,19
185,34,244,58,277,13
184,30,229,44,270,74
182,1,221,42,274,6
181,26,225,44,268,19
181,33,225,55,272,1
181,33,227,51,306,77
